BCH_NO	INVSPL_CD	INDVROLETP_CD	TRANS_CD	CORPINDV_CD	DEDTRANS_NO	DT	ISSUE_PRCAL_PAY_NO	FR_PRCAL_PAY_NO	TO_PRCAL_PAY_NO	AMT	CHQTP_CD	PAY_REVS_IND	ORIG_TRANS_CD	GL_CD	MISACCT_CD	ORG_CD	THPTY_CD	BONDANNCAMP_EFFYR	INDV_ID
11		E	C527	I	84	1/1/2023 0:00				90.00	1	0	C527						485045
11		E	C527	I	85	1/1/2023 0:00				90.00	1	0	C527						498834
11		E	C527	I	86	1/1/2023 0:00				90.00	1	0	C527						486594
11		E	C527	I	87	1/1/2023 0:00				90.00	1	0	C527						482783
11		E	C527	I	88	1/1/2023 0:00				90.00	1	0	C527						508345
11		E	C527	I	89	1/1/2023 0:00				90.00	1	0	C527						510790
11		E	C527	I	90	1/1/2023 0:00				90.00	1	0	C527						503882
11		E	C527	I	91	1/1/2023 0:00				90.00	1	0	C527						476637
11		E	C527	I	92	1/1/2023 0:00				90.00	1	0	C527						496725
11		E	C527	I	93	1/1/2023 0:00				90.00	1	0	C527						474220
11		E	C527	I	94	1/1/2023 0:00				90.00	1	0	C527						487122
11		E	C527	I	95	1/1/2023 0:00				90.00	1	0	C527						505819
11		E	C527	I	96	1/1/2023 0:00				90.00	1	0	C527						523008
11		E	C527	I	97	1/1/2023 0:00				90.00	1	0	C527						499744
11		E	C527	I	98	1/1/2023 0:00				90.00	1	0	C527						487202
11		E	C527	I	99	1/1/2023 0:00				90.00	1	0	C527						523729
11		E	C527	I	100	1/1/2023 0:00				90.00	1	0	C527						477566
11		E	C527	I	101	1/1/2023 0:00				90.00	1	0	C527						530361
11		E	C527	I	102	1/1/2023 0:00				90.00	1	0	C527						479250
11		E	C527	I	103	1/1/2023 0:00				90.00	1	0	C527						492642
11		E	C527	I	104	1/1/2023 0:00				90.00	1	0	C527						486201
11		E	C527	I	105	1/1/2023 0:00				90.00	1	0	C527						505826
11		E	C527	I	106	1/1/2023 0:00				90.00	1	0	C527						491733
11		E	C527	I	107	1/1/2023 0:00				90.00	1	0	C527						483920
11		E	C527	I	108	1/1/2023 0:00				90.00	1	0	C527						483403
11		E	C527	I	109	1/1/2023 0:00				90.00	1	0	C527						487199
11		E	C527	I	110	1/1/2023 0:00				90.00	1	0	C527						527908
11		E	C527	I	111	1/1/2023 0:00				90.00	1	0	C527						537157
11		E	C527	I	112	1/1/2023 0:00				90.00	1	0	C527						500812
11		E	C527	I	113	1/1/2023 0:00				90.00	1	0	C527						487723
11		E	C527	I	114	1/1/2023 0:00				90.00	1	0	C527						486420
11		E	C527	I	115	1/1/2023 0:00				90.00	1	0	C527						476162
11		E	C527	I	116	1/1/2023 0:00				90.00	1	0	C527						474794
11		E	C527	I	117	1/1/2023 0:00				90.00	1	0	C527						485387
11		E	C527	I	118	1/1/2023 0:00				90.00	1	0	C527						482730
11		E	C527	I	119	1/1/2023 0:00				90.00	1	0	C527						474510
11		E	C527	I	120	1/1/2023 0:00				90.00	1	0	C527						487064
11		E	C527	I	121	1/1/2023 0:00				90.00	1	0	C527						477553
11		E	C527	I	122	1/1/2023 0:00				90.00	1	0	C527						486416
11		E	C527	I	123	1/1/2023 0:00				90.00	1	0	C527						487154
11		E	C527	I	124	1/1/2023 0:00				90.00	1	0	C527						477803
11		E	C527	I	125	1/1/2023 0:00				90.00	1	0	C527						476378
11		E	C527	I	126	1/1/2023 0:00				90.00	1	0	C527						487108
11		E	C527	I	127	1/1/2023 0:00				90.00	1	0	C527						460286
11		E	C527	I	128	1/1/2023 0:00				90.00	1	0	C527						483572
11		E	C473  	I	129	1/1/2023 0:00				90.00	1	0	C473  						513717
11		E	C473  	I	130	1/1/2023 0:00				90.00	1	0	C473  						485990
11		E	C473  	I	131	1/1/2023 0:00				90.00	1	0	C473  						528738
11		E	C473  	I	132	1/1/2023 0:00				90.00	1	0	C473  						486071
11		E	C473  	I	133	1/1/2023 0:00				90.00	1	0	C473  						538071
11		E	C473  	I	134	1/1/2023 0:00				90.00	1	0	C473  						493311
11		E	C473  	I	135	1/1/2023 0:00				90.00	1	0	C473  						505573
11		E	C473  	I	136	1/1/2023 0:00				90.00	1	0	C473  						494376
11		E	C473  	I	137	1/1/2023 0:00				90.00	1	0	C473  						513899
11		E	C473  	I	138	1/1/2023 0:00				90.00	1	0	C473  						511039
11		E	C473  	I	139	1/1/2023 0:00				90.00	1	0	C473  						486326
11		E	C473  	I	140	1/1/2023 0:00				90.00	1	0	C473  						97840
11		E	C473  	I	141	1/1/2023 0:00				90.00	1	0	C473  						479697
11		E	C473  	I	142	1/1/2023 0:00				90.00	1	0	C473  						508273
11		E	C473  	I	143	1/1/2023 0:00				90.00	1	0	C473  						503768
11		E	C473  	I	144	1/1/2023 0:00				90.00	1	0	C473  						537064
11		E	C473  	I	145	1/1/2023 0:00				90.00	1	0	C473  						482930
11		E	C473  	I	146	1/1/2023 0:00				90.00	1	0	C473  						502525
11		E	C473  	I	147	1/1/2023 0:00				90.00	1	0	C473  						514085
11		E	C473  	I	148	1/1/2023 0:00				90.00	1	0	C473  						501229
11		E	C473  	I	149	1/1/2023 0:00				90.00	1	0	C473  						496487
11		E	C473  	I	150	1/1/2023 0:00				90.00	1	0	C473  						487120
11		E	C473  	I	151	1/1/2023 0:00				90.00	1	0	C473  						488661
11		E	C473  	I	152	1/1/2023 0:00				90.00	1	0	C473  						176471
11		E	C473  	I	153	1/1/2023 0:00				90.00	1	0	C473  						490649
11		E	C473  	I	154	1/1/2023 0:00				90.00	1	0	C473  						485456
11		E	C473  	I	155	1/1/2023 0:00				90.00	1	0	C473  						510355
11		E	C473  	I	156	1/1/2023 0:00				90.00	1	0	C473  						526615
11		E	C473  	I	157	1/1/2023 0:00				90.00	1	0	C473  						526781
11		E	C473  	I	158	1/1/2023 0:00				90.00	1	0	C473  						525984
11		E	C473  	I	159	1/1/2023 0:00				90.00	1	0	C473  						525450
11		E	C473  	I	160	1/1/2023 0:00				90.00	1	0	C473  						487160
11		E	C473  	I	161	1/1/2023 0:00				90.00	1	0	C473  						525536
11		E	C473  	I	162	1/1/2023 0:00				90.00	1	0	C473  						525199
11		E	C473  	I	163	1/1/2023 0:00				90.00	1	0	C473  						38638
11		E	C473  	I	164	1/1/2023 0:00				90.00	1	0	C473  						517618
11		E	C473  	I	165	1/1/2023 0:00				90.00	1	0	C473  						497017
11		E	C473  	I	166	1/1/2023 0:00				90.00	1	0	C473  						481857
11		E	C473  	I	167	1/1/2023 0:00				90.00	1	0	C473  						482443
11		E	C473  	I	168	1/1/2023 0:00				90.00	1	0	C473  						487718
11		E	C473  	I	169	1/1/2023 0:00				90.00	1	0	C473  						524904
11		E	C473  	I	170	1/1/2023 0:00				90.00	1	0	C473  						483635
11		E	C473  	I	171	1/1/2023 0:00				90.00	1	0	C473  						479612
11		E	C473  	I	172	1/1/2023 0:00				90.00	1	0	C473  						474610
11		E	C473  	I	173	1/1/2023 0:00				90.00	1	0	C473  						489114
11		E	C473  	I	174	1/1/2023 0:00				90.00	1	0	C473  						481940
11		E	C473  	I	175	1/1/2023 0:00				90.00	1	0	C473  						479034
11		E	C473  	I	176	1/1/2023 0:00				90.00	1	0	C473  						482190
11		E	C473  	I	177	1/1/2023 0:00				90.00	1	0	C473  						501684
11		E	C473  	I	178	1/1/2023 0:00				90.00	1	0	C473  						476477
11		E	C473  	I	179	1/1/2023 0:00				90.00	1	0	C473  						479750
11		E	C473  	I	180	1/1/2023 0:00				90.00	1	0	C473  						475066
11		E	C473  	I	181	1/1/2023 0:00				90.00	1	0	C473  						474657
11		E	C473  	I	182	1/1/2023 0:00				90.00	1	0	C473  						60780
11		E	C473  	I	183	1/1/2023 0:00				90.00	1	0	C473  						474662
11		E	C473  	I	184	1/1/2023 0:00				90.00	1	0	C473  						479873
11		E	C473  	I	185	1/1/2023 0:00				90.00	1	0	C473  						478360
11		E	C473  	I	186	1/1/2023 0:00				90.00	1	0	C473  						485170
11		E	C473  	I	187	1/1/2023 0:00				90.00	1	0	C473  						483620
11		E	C473  	I	188	1/1/2023 0:00				90.00	1	0	C473  						479813
11		E	C473  	I	189	1/1/2023 0:00				90.00	1	0	C473  						477608
11		E	C473  	I	190	1/1/2023 0:00				90.00	1	0	C473  						485490
11		E	C473  	I	191	1/1/2023 0:00				90.00	1	0	C473  						487907
11		E	C473  	I	192	1/1/2023 0:00				90.00	1	0	C473  						487128
11		E	C473  	I	193	1/1/2023 0:00				90.00	1	0	C473  						485430
11		E	C473  	I	194	1/1/2023 0:00				90.00	1	0	C473  						537150
11		E	C473  	I	195	1/1/2023 0:00				90.00	1	0	C473  						515825
11		E	C473  	I	196	1/1/2023 0:00				90.00	1	0	C473  						512282
11		E	C473  	I	197	1/1/2023 0:00				90.00	1	0	C473  						536469
11		E	C473  	I	198	1/1/2023 0:00				90.00	1	0	C473  						532078
11		E	C473  	I	199	1/1/2023 0:00				90.00	1	0	C473  						509695
11		E	C473  	I	200	1/1/2023 0:00				90.00	1	0	C473  						491239
11		E	C473  	I	201	1/1/2023 0:00				90.00	1	0	C473  						524737
11		E	C473  	I	202	1/1/2023 0:00				90.00	1	0	C473  						101386
11		E	C473  	I	203	1/1/2023 0:00				90.00	1	0	C473  						536857
11		E	C473  	I	204	1/1/2023 0:00				90.00	1	0	C473  						477494
11		E	C473  	I	205	1/1/2023 0:00				90.00	1	0	C473  						531755
11		E	C473  	I	206	1/1/2023 0:00				90.00	1	0	C473  						534609
11		E	C473  	I	207	1/1/2023 0:00				90.00	1	0	C473  						504997
11		E	C473  	I	208	1/1/2023 0:00				90.00	1	0	C473  						476492
11		E	C473  	I	209	1/1/2023 0:00				90.00	1	0	C473  						483480
11		E	C473  	I	210	1/1/2023 0:00				90.00	1	0	C473  						487049
11		E	C473  	I	211	1/1/2023 0:00				90.00	1	0	C473  						487083
11		E	C473  	I	212	1/1/2023 0:00				90.00	1	0	C473  						480446
11		E	C473  	I	213	1/1/2023 0:00				90.00	1	0	C473  						475090
11		E	C473  	I	214	1/1/2023 0:00				90.00	1	0	C473  						526167
11		E	C473  	I	215	1/1/2023 0:00				90.00	1	0	C473  						482511
11		E	C473  	I	216	1/1/2023 0:00				90.00	1	0	C473  						487726
11		E	C473  	I	217	1/1/2023 0:00				90.00	1	0	C473  						485140
11		E	C473  	I	218	1/1/2023 0:00				90.00	1	0	C473  						481913
11		E	C473  	I	219	1/1/2023 0:00				90.00	1	0	C473  						483706
11		E	C473  	I	220	1/1/2023 0:00				90.00	1	0	C473  						476997
