INDV_ID	AMT
78360	200
79970	90
82230	200
82354	200
82669	200
85035	200
86512	200
535078	200
490894	200
490939	200
502065	200
502070	200
502071	200
502074	200
533609	200
502145	200
87288	200
88559	200
89532	200
89573	200
90746	200
92163	200
92635	200
93062	200
93252	200
95190	200
97790	200
97840	90
98368	200
98426	200
84616	200
537544	200
535161	200
536989	90
537064	90
537080	90
502277	200
491055	200
491070	90
491074	200
491102	200
491148	200
491239	90
535765	200
537150	90
537153	90
535284	200
535369	90
535385	200
494156	90
494206	200
535438	90
537181	90
503882	90
503890	200
534450	200
504043	200
504059	90
503768	90
494366	200
494376	90
494485	90
536047	90
537316	200
535606	200
535608	200
493311	90
493330	200
536115	200
536132	200
536136	200
537359	200
537411	200
537417	200
537448	200
534313	90
503641	200
493923	200
493980	200
494048	200
536183	200
536245	90
536281	90
496408	200
496487	90
496589	200
496725	90
496730	90
496739	200
496759	200
491508	200
491532	90
533744	200
502365	90
60103	200
60202	200
60780	90
61101	200
61861	90
496791	200
496799	200
496803	90
496823	200
499864	200
499934	200
50328	200
500010	200
500067	200
500108	200
491704	200
491714	200
491733	90
491829	90
491877	200
63032	200
63040	200
496865	200
496877	200
496944	200
496993	200
497017	90
497136	90
502525	90
533891	200
502684	200
502704	200
502859	200
492126	200
536360	200
536368	200
536469	90
536485	0
538071	90
500395	200
500413	200
500665	200
500712	200
492235	200
492443	200
492582	200
492642	90
502869	200
536532	200
489311	90
489779	90
497399	200
497427	200
497432	90
502927	90
502966	200
503014	200
503052	200
534108	200
534109	200
492686	200
492791	90
512790	200
512894	250
512910	200
512915	200
512941	90
536616	200
498723	90
498736	200
498763	200
498814	200
498818	90
498834	90
500812	90
500914	200
492833	200
492943	200
493013	90
513362	200
513556	200
513600	200
538426	200
501109	200
501229	90
501265	200
501328	200
489830	-200
489935	200
489948	200
489966	200
489976	200
503226	90
534169	200
503271	200
513709	200
513717	90
513788	200
513793	200
513899	90
513965	200
513979	200
514001	200
490148	90
490175	200
490244	200
501379	200
501429	200
501539	200
