INDV_ID	AMT
531355	200
531360	200
531417	90
531421	90
531426	200
531493	90
531569	90
332576	200
332620	200
333881	200
334016	200
334680	200
335110	200
335537	200
336490	200
228436	200
228515	200
229227	200
229868	200
229931	200
229970	200
230010	200
230356	90
230363	200
230405	200
230470	200
230516	90
288831	200
288872	200
288897	200
289292	200
175260	200
176471	90
176994	200
177068	200
178154	200
180245	200
180674	200
181367	200
385436	200
385835	200
386585	200
388292	200
487268	90
487410	90
487637	90
487655	200
487656	90
487675	90
487689	90
487718	90
487723	90
487726	90
353930	200
354245	200
354518	200
354597	200
355103	200
355904	200
356500	200
460286	90
460295	200
460712	200
461198	200
462171	200
462503	200
462515	200
462851	200
463556	200
519112	200
519114	200
519225	200
519328	200
519452	200
52407	200
52738	200
521530	90
521547	200
521567	200
527722	200
527737	200
527833	200
527877	200
527908	0
529316	200
512393	200
512466	200
512573	250
509290	200
509644	200
531589	90
230816	200
231260	200
231630	200
231714	90
232640	200
232933	200
10087	200
10209	200
10267	200
10331	200
10341	200
10353	200
10403	200
10445	200
10740	200
10745	200
10865	200
181925	200
181934	200
290816	200
291940	200
292538	200
293740	200
294616	200
295900	200
487754	90
487813	90
487907	90
487997	200
488015	200
388756	200
388887	200
390193	200
390390	200
391850	200
465030	200
480100	90
480446	90
480450	90
480531	90
481710	200
481733	200
481770	90
481857	90
481865	90
519511	200
519585	200
519600	200
519615	200
519633	200
521622	200
521723	200
525954	200
525972	200
525984	90
525994	200
527969	200
512169	90
531600	200
531613	200
531692	200
531726	200
531727	200
531755	90
531767	200
531808	200
509666	200
509695	90
10932	200
10939	200
11014	200
11308	200
11363	200
11365	200
11368	200
11386	200
11423	200
11443	200
233370	200
234158	200
234447	200
235718	200
235797	200
235820	200
235856	200
185746	200
185888	200
185975	200
185993	200
187538	200
187763	200
188500	200
190553	200
191591	200
393010	200
393163	200
393174	200
393430	200
393714	200
488071	200
488143	200
488196	90
488200	200
488202	200
488401	90
488458	200
481913	90
481940	90
357626	200
359006	200
359593	200
359975	200
519961	200
520132	200
521775	200
521788	90
521898	200
523729	90
527989	0
528013	90
528071	200
528085	200
528135	90
528178	200
509822	200
509949	200
509951	0
510094	200
235871	200
236110	200
236537	200
237353	200
238802	200
11518	200
11562	200
11623	200
13123	200
13295	200
13487	200
13563	200
13734	200
13751	200
488577	200
488609	200
395258	200
395727	200
396050	200
396521	200
397316	200
399512	200
467926	200
470843	200
471122	200
472481	200
482180	200
482190	90
520177	200
520179	200
520192	200
520203	200
51474	200
51771	200
514651	200
521939	200
526167	90
526297	200
526315	200
523851	200
523858	200
523934	200
523937	200
523946	90
523968	200
50666	200
51029	200
51292	200
505573	90
505588	0
531990	200
531991	90
532078	90
510174	90
13846	200
13940	200
13961	250
13963	200
14140	200
14180	200
14182	200
11455	200
239291	200
240164	200
240416	200
241127	200
241303	200
242280	200
242334	200
243404	200
42192	200
42440	200
42556	200
43166	200
488661	90
488817	200
488941	200
489077	200
482443	90
482473	90
482511	90
482666	90
482730	90
482783	90
482930	90
483140	0
483150	90
483403	90
483480	90
483572	90
483620	90
483635	90
483706	90
483886	90
483920	90
484232	200
484243	90
484406	90
484827	200
484868	90
362440	200
362735	200
362933	200
514721	200
514761	200
514829	200
514900	200
514964	90
526359	200
522034	90
522036	200
522039	200
522140	-180
522162	200
522190	200
522203	90
522220	90
524051	0
524070	200
529630	90
529647	200
505720	90
510355	90
510361	200
510381	200
510388	200
510426	200
510441	200
510455	200
532144	200
243662	200
243684	200
14207	200
19638	200
101329	200
101386	0
102137	200
103887	200
104760	250
489114	90
44370	200
44594	200
45369	200
45435	200
45443	200
46094	200
46268	200
47142	200
400070	90
363763	200
364112	200
365867	200
366227	200
366370	200
366800	200
367874	200
368816	200
473120	90
53223	200
53439	200
53462	200
528345	200
528366	90
532365	90
505802	200
505819	90
505825	90
505826	90
505917	200
505937	90
505946	90
505958	200
530359	90
530361	90
532290	200
193868	200
195010	200
105429	200
106021	200
106294	200
106765	200
106781	200
107235	200
247253	200
248004	200
248680	200
248753	200
248777	200
248918	200
249395	200
402266	200
489149	200
404776	200
404980	200
405485	200
405690	200
473720	200
474220	90
474240	90
474473	90
474510	90
474610	90
474657	90
474662	90
474676	200
474681	90
474794	90
474886	200
474935	90
474943	200
475066	90
475090	90
475163	90
475260	90
475451	90
475543	200
475666	200
475685	90
475700	90
485054	200
485090	90
485140	90
485170	0
485190	200
485387	90
485430	90
485456	90
485490	90
485500	90
515223	200
515296	200
510464	200
510628	200
530538	90
530566	200
297155	200
297212	200
298808	200
299366	200
30346	200
30981	200
32060	200
250450	200
107458	200
109728	200
111096	200
112193	200
113688	200
114298	250
116020	200
116657	200
116798	200
117655	200
118612	200
118877	200
119867	200
119982	200
120758	250
494604	200
494605	200
494827	200
504143	200
409262	200
411940	200
412028	200
416276	200
418475	200
420591	200
485528	200
485590	90
485882	90
485990	90
486071	90
486201	90
486278	90
486326	90
486416	90
486420	90
486493	90
486575	90
486594	90
486796	90
486848	90
485045	90
368885	90
368891	200
370028	200
515501	200
515508	200
515529	200
515797	200
515800	200
510790	90
506343	200
506477	200
506556	200
506577	200
506661	200
530610	200
530616	200
33118	200
33217	200
300010	200
300441	200
302116	200
20545	200
21311	200
21790	200
22582	200
23515	200
25494	200
25593	200
25841	200
26724	200
27508	200
28761	200
28860	200
251183	200
251593	200
252410	200
253232	200
253540	200
254190	200
254585	200
255507	200
256025	200
256193	200
256554	200
121939	200
122317	200
534596	90
534609	90
504373	200
534668	90
494850	200
494886	200
495027	200
495030	200
495047	200
423150	90
425490	200
426146	200
426867	200
426880	200
427587	200
428333	200
429947	200
372491	200
373374	200
475830	90
475990	90
476023	90
476144	90
476162	90
476180	90
476367	90
476378	90
476477	90
476492	90
476637	90
515825	90
515956	200
515974	200
515977	90
516045	200
516168	200
516201	200
526382	200
526450	200
528572	200
528584	200
530690	200
530731	200
530735	200
506741	200
506872	200
506949	200
201233	200
302757	200
302822	200
303040	200
303821	200
304393	200
123273	200
124057	200
125260	200
126235	200
126748	200
128736	200
129155	200
129635	200
129650	200
129676	200
130229	200
130997	200
131490	200
131912	200
495085	200
495098	200
495132	200
495199	90
495203	200
498883	90
534714	200
504447	200
430093	200
432203	200
432383	200
434006	200
436670	200
437393	200
476896	90
476948	90
476997	90
477070	90
477370	90
477416	90
477494	90
477540	200
477553	90
477566	90
477608	90
487045	200
487049	90
487064	90
487083	90
487094	90
487099	90
487108	90
487120	90
487122	90
487128	90
487148	90
487154	90
487160	90
516951	200
526538	200
526583	200
526607	200
526615	90
522317	200
522348	200
510850	200
510858	200
510870	200
511003	200
511039	90
511072	90
511099	200
511100	200
530797	200
530835	90
307333	200
202346	200
202910	200
203310	200
203402	200
203513	200
204293	200
205271	200
205598	200
205883	250
206633	200
258911	200
259085	90
259740	200
260320	200
260468	200
260970	200
261916	200
262850	200
263670	200
264155	200
264163	200
264248	200
264725	200
264845	200
265486	200
265650	200
136028	200
137554	200
137653	200
495384	200
495516	200
495548	200
495585	200
34322	200
34355	200
35055	90
35931	200
36293	200
36418	200
36426	200
37788	200
37937	200
38299	200
38638	90
38810	200
39008	200
39057	200
39313	200
39529	200
39578	200
39933	200
439577	200
487181	90
487182	90
487188	90
487199	90
487201	200
487202	90
487222	200
487230	90
487246	90
487256	200
374270	200
374342	200
375240	90
375446	200
376736	200
376990	200
377198	200
377680	200
517178	200
517325	200
517330	200
517396	90
522409	200
522533	90
522577	200
526715	90
526725	90
526737	90
526741	200
526773	200
526781	90
511215	200
528632	200
528738	90
507359	200
507503	200
207863	200
208574	200
208643	200
307363	200
307756	200
308102	200
308432	200
310160	200
310460	200
311350	200
316810	200
137996	200
138013	200
138474	200
141233	200
142706	200
142941	200
143280	200
143468	200
144605	200
144810	90
146474	200
266110	200
266507	200
495704	200
495856	200
499108	200
499115	200
499217	200
499243	200
441316	250
441357	200
441870	200
442077	200
445520	200
339524	200
340036	200
379115	200
381706	200
477803	90
478036	200
478160	90
478240	90
478360	90
478371	90
478472	90
478706	90
479034	90
479250	90
524340	200
524385	200
526892	200
526949	200
522582	200
522607	200
522651	90
512282	90
511283	200
507708	90
530966	90
531020	90
210752	200
210860	200
211106	200
211742	200
211796	200
211820	200
212465	200
212732	200
213206	200
214325	200
214996	200
215408	200
215483	200
317102	200
